city,dt,aqi,pm2_5,pm10,temp,humidity,wind_speed
Caloocan,1775570400,3,36.52,45.48,30.4,56,8.0
Caloocan,1775574000,3,36.98,46.17,30.0,57,7.8
Caloocan,1775577600,3,37.3,46.6,29.6,60,5.9
Caloocan,1775581200,3,37.86,47.29,28.8,66,1.3
Caloocan,1775584800,3,38.54,48.19,28.1,68,3.1
Caloocan,1775588400,3,38.97,48.72,27.7,71,2.4
Caloocan,1775592000,3,39.54,49.47,27.3,75,1.3
Caloocan,1775595600,3,40.4,50.44,27.1,75,2.5
Caloocan,1775599200,3,40.12,50.17,27.0,75,2.5
Caloocan,1775602800,3,38.86,48.94,27.5,72,2.2
Caloocan,1775606400,3,38.09,48.19,28.5,67,1.4
Caloocan,1775610000,3,28.81,37.89,30.7,56,0.4
Caloocan,1775613600,3,27.13,35.08,32.5,47,0.9
Caloocan,1775617200,3,29.2,36.5,34.0,41,3.1
Caloocan,1775620800,3,31.63,38.54,35.3,35,3.4
Caloocan,1775624400,3,34.41,41.15,35.8,32,4.5
Caloocan,1775628000,3,35.73,42.21,35.5,32,5.1
Caloocan,1775631600,3,34.97,41.08,35.8,29,4.6
Caloocan,1775635200,3,37.23,43.56,35.5,29,4.9
Caloocan,1775638800,3,38.84,45.48,34.9,29,6.0
Caloocan,1775642400,3,39.25,46.16,33.2,32,7.7
Caloocan,1775646000,3,39.02,46.06,31.3,42,8.1
Caloocan,1775649600,3,38.5,45.6,29.9,50,7.8
Caloocan,1775653200,3,36.14,42.95,29.2,52,5.5
Caloocan,1775656800,3,33.56,40.23,28.4,56,3.4
Caloocan,1775660400,3,30.88,37.36,27.8,58,1.7
Caloocan,1775664000,3,28.15,34.27,27.2,61,1.5
Caloocan,1775667600,3,25.4,31.07,26.7,63,2.4
Caloocan,1775671200,2,22.79,28.02,26.0,63,4.6
Caloocan,1775674800,2,20.78,25.68,25.5,65,4.0
Caloocan,1775678400,2,19.5,24.18,24.8,69,3.2
Caloocan,1775682000,2,18.35,22.82,24.1,73,2.8
Caloocan,1775685600,2,16.88,21.07,23.8,76,2.8
Caloocan,1775689200,2,15.46,19.43,25.1,71,1.9
Caloocan,1775692800,2,14.67,18.49,27.8,56,1.1
Caloocan,1775696400,2,11.48,14.93,30.4,46,2.3
Caloocan,1775700000,2,12.56,15.87,32.2,43,4.7
Caloocan,1775703600,2,15.88,19.29,34.0,39,5.3
Caloocan,1775707200,2,18.73,22.23,34.7,38,9.6
Caloocan,1775710800,2,20.23,23.7,34.0,44,12.1
Caloocan,1775714400,2,20.8,24.17,34.5,40,8.7
Caloocan,1775718000,2,21.18,24.46,34.8,38,9.9
Caloocan,1775721600,2,20.8,23.94,34.1,40,10.6
Caloocan,1775725200,2,19.91,22.89,33.5,43,12.6
Caloocan,1775728800,2,18.37,21.14,32.0,50,13.0
Caloocan,1775732400,2,16.91,19.55,30.5,57,11.5
Caloocan,1775736000,2,15.92,18.58,30.0,62,9.6
Caloocan,1775739600,2,14.82,17.51,29.5,65,8.6
Caloocan,1775743200,2,13.97,16.74,29.0,67,8.3
Caloocan,1775746800,2,13.28,16.16,28.5,69,7.1
Caloocan,1775750400,2,12.78,15.8,28.0,71,4.5
Caloocan,1775754000,2,12.6,15.82,27.7,72,1.9
Caloocan,1775757600,2,12.53,15.99,27.2,73,0.4
Caloocan,1775761200,2,12.5,16.2,27.1,74,0.5
Caloocan,1775764800,2,12.55,16.5,26.9,75,3.3
Caloocan,1775768400,2,12.67,16.87,26.7,76,3.1
Caloocan,1775772000,2,12.66,17.03,26.5,76,2.3
Caloocan,1775775600,2,12.63,17.17,27.1,72,1.9
Caloocan,1775779200,2,12.84,17.56,28.9,65,5.8
Caloocan,1775782800,2,13.25,18.02,30.9,54,2.3
Caloocan,1775786400,2,13.93,18.71,32.6,47,2.2
Caloocan,1775790000,2,16.55,21.54,33.9,42,6.3
Caloocan,1775793600,2,20.67,26.09,34.3,41,10.0
Caloocan,1775797200,2,23.99,29.8,34.7,41,10.5
Caloocan,1775800800,3,25.9,31.88,34.1,42,13.6
Caloocan,1775804400,3,27.53,33.7,33.8,40,13.9
Caloocan,1775808000,3,29.33,35.77,33.3,38,12.0
Caloocan,1775811600,3,30.47,37.15,32.5,44,8.2
Caloocan,1775815200,3,31.0,37.82,31.6,54,7.4
Caloocan,1775818800,3,31.31,38.27,30.7,61,8.2
Caloocan,1775822400,3,31.52,38.63,30.9,57,9.6
Caloocan,1775826000,3,31.3,38.31,30.7,58,6.7
Caloocan,1775829600,3,31.16,38.07,30.1,61,4.0
Caloocan,1775833200,3,31.14,37.97,29.6,63,3.9
Caloocan,1775836800,3,31.2,37.94,29.1,65,5.4
Caloocan,1775840400,3,31.4,38.07,28.8,67,5.9
Caloocan,1775844000,3,31.61,38.2,28.0,74,7.8
Caloocan,1775847600,3,31.63,38.05,27.6,76,7.7
Caloocan,1775851200,3,31.59,37.84,27.3,77,5.6
Caloocan,1775854800,3,31.71,37.85,27.0,77,5.9
Caloocan,1775858400,3,31.8,37.87,26.9,77,4.4
Caloocan,1775862000,3,31.71,37.71,27.5,73,3.4
Caloocan,1775865600,3,31.58,37.46,28.8,65,3.4
Caloocan,1775869200,3,27.28,32.82,30.6,57,0.5
Caloocan,1775872800,3,25.63,30.75,32.5,48,2.7
Caloocan,1775876400,3,25.5,30.35,33.7,43,5.0
Caloocan,1775880000,3,25.45,29.86,34.4,40,8.3
Caloocan,1775883600,3,26.87,31.2,34.7,41,10.0
Caloocan,1775887200,3,28.09,32.43,34.0,42,11.8
Caloocan,1775890800,3,29.39,33.79,34.1,41,7.3
Caloocan,1775894400,3,30.23,34.7,33.8,42,5.5
Caloocan,1775898000,3,30.54,35.06,33.7,43,10.8
Caloocan,1775901600,3,29.94,34.33,32.3,52,12.6
Caloocan,1775905200,3,29.39,33.71,31.5,51,11.7
Caloocan,1775908800,3,29.27,33.58,30.4,60,6.0
Caloocan,1775912400,3,29.24,33.56,29.5,66,8.3
Caloocan,1775916000,3,29.33,33.74,29.0,69,9.4
